name,business_type,address,city,region,phone,website,rating,reviews_count,latitude,longitude,data_source
Résultats,doctors,"
Carrefour médical au dessus de carrefour market, :LAWAND CENTER, Tunis 2066",Tunis,Tunisia,"
52 558 661",https://www.google.com/maps/place/Dr+Khema%C3%AEs+Ben+Romdhane/data=!4m7!3m6!1s0x12fd36bb7bd61299:0xde9d746ef2a53855!8m2!3d36.761063!4d10.1865534!16s%2Fg%2F11c1tsm8js!19sChIJmRLWe7s2_RIRVTil8m50nd4?authuser=0&hl=fr&rclk=1,,(5),,,Google Maps Direct
Résultats,doctors,"
56 rue Abou Kacem zahraoui, Tunis",Tunis,Tunisia,"
36 308 776",https://www.google.com/maps/place/Dr+Khema%C3%AEs+Ben+Romdhane/data=!4m7!3m6!1s0x12fd36bb7bd61299:0xde9d746ef2a53855!8m2!3d36.761063!4d10.1865534!16s%2Fg%2F11c1tsm8js!19sChIJmRLWe7s2_RIRVTil8m50nd4?authuser=0&hl=fr&rclk=1,,(5),,,Google Maps Direct
Résultats,doctors,"
extérieur (à côté de la pharmacie، 58, Avenue de Bellevue. Ouardia 1 Rez-de-chaussée, Tunis 1009",Tunis,Tunisia,"
71 491 260",https://www.google.com/maps/place/Dr+Khema%C3%AEs+Ben+Romdhane/data=!4m7!3m6!1s0x12fd36bb7bd61299:0xde9d746ef2a53855!8m2!3d36.761063!4d10.1865534!16s%2Fg%2F11c1tsm8js!19sChIJmRLWe7s2_RIRVTil8m50nd4?authuser=0&hl=fr&rclk=1,,(5),,,Google Maps Direct
Résultats,doctors,"
7, Cabinet : D2, Centre commercial Lawand, Tunis 2066",Tunis,Tunisia,"
25 952 666",https://www.google.com/maps/place/Dr+Khema%C3%AEs+Ben+Romdhane/data=!4m7!3m6!1s0x12fd36bb7bd61299:0xde9d746ef2a53855!8m2!3d36.761063!4d10.1865534!16s%2Fg%2F11c1tsm8js!19sChIJmRLWe7s2_RIRVTil8m50nd4?authuser=0&hl=fr&rclk=1,,(5),,,Google Maps Direct
Résultats,doctors,"
Tunis",Tunis,Tunisia,"
53 813 404",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
1 Rue du Lac de Constance, Tunis 1053",Tunis,Tunisia,"
71 960 000",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
Q5QC+84V, Rue Abulkassem Chabbi, Tunis",Tunis,Tunisia,"
71 249 026",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
Rte GP1 - Km 6, Megrine 2033",Tunis,Tunisia,"
70 220 000",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
Tunis 1003",Tunis,Tunisia,"
36 089 000",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
Al Kendy Medical- X2-1003 Tunis, 1003",Tunis,Tunisia,"
22 960 337",https://www.google.com/maps/place/Consultation+Medicale+Privee/data=!4m7!3m6!1s0x12fd37a6419f6a53:0x7a8dceb7e339d0c0!8m2!3d36.7607939!4d10.1906833!16s%2Fg%2F11gk3b8w3h!19sChIJU2qfQaY3_RIRwNA547fOjXo?authuser=0&hl=fr&rclk=1,,(19),,,Google Maps Direct
Résultats,doctors,"
Carrefour market Ibn Sina, LAWAND Center, Rue Hippocrate، Cité Avicenne 2066",Tunis,Tunisia,"
27 121 107",https://www.google.com/maps/place/Cabinet+Dr+Chaima+BOUCHRIHA+_+M%C3%A9decine+de+famille+et+m%C3%A9decine+g%C3%A9n%C3%A9rale/data=!4m7!3m6!1s0x12fd376311986a7d:0xbfbe322c633b221b!8m2!3d36.7598304!4d10.1866388!16s%2Fg%2F11x16300xt!19sChIJfWqYEWM3_RIRGyI7Yywyvr8?authuser=0&hl=fr&rclk=1,,(4),,,Google Maps Direct
